DATOS MÓVILES  DE ACUERDO AL ÍNDICE AIRE Y SALUD_T-21 2023,,,,,,
NOTA,LOS DATOS SON PREVALIDADOS ,,,,,
,,,,,,
MES,DIA,HORA,O3 Horario [ppm],O3 Promedio de 8 hrs. [ppm],SO2 promedio de 24 hrs. [ppm],PM10 Promedio ponderado  de 12 hrs. [µg/m³]
NOVIEMBRE,20,12,NA,NA,0.007,36
NOVIEMBRE,20,13,NA,NA,0.007,41
NOVIEMBRE,20,14,NA,NA,0.007,35
NOVIEMBRE,20,15,NA,NA,0.007,29
NOVIEMBRE,20,16,NA,NA,0.006,28
NOVIEMBRE,20,17,NA,NA,0.006,24
NOVIEMBRE,20,18,NA,NA,0.006,22
NOVIEMBRE,20,19,NA,NA,0.006,24
NOVIEMBRE,20,20,NA,NA,0.006,27
NOVIEMBRE,20,21,NA,NA,0.006,27
NOVIEMBRE,20,22,NA,NA,0.006,27
NOVIEMBRE,20,23,NA,NA,0.006,33
NOVIEMBRE,21,0,NA,NA,0.006,27
NOVIEMBRE,21,1,NA,NA,0.006,20
NOVIEMBRE,21,2,NA,NA,0.006,16
NOVIEMBRE,21,3,NA,NA,0.006,17
NOVIEMBRE,21,4,NA,NA,0.006,20
NOVIEMBRE,21,5,NA,NA,0.006,17
NOVIEMBRE,21,6,NA,NA,0.006,19
NOVIEMBRE,21,7,NA,NA,0.006,34
NOVIEMBRE,21,8,NA,NA,0.006,42
NOVIEMBRE,21,9,NA,NA,0.006,44
NOVIEMBRE,21,10,NA,NA,0.007,46
NOVIEMBRE,21,11,NA,NA,0.007,41
NOVIEMBRE,21,12,NA,NA,0.007,39
